Title,Year,Agency,Keywords
"Entry, Expansion, and Intensity in the U.S. Export Boom, 1987-1992",2004,Review of International Economics,economic;discussion;data;center;census;business;working;impact;trade;economics
Product Choice and Product Switching,2003,NBER,discussion;data;center;census;business;firms;paper;working;impact;trade
Plants and Productivity in International Trade,2003,American Economic Review,data;center;census;business;firms;working;economic;impact;productivity;trade
Why Some Firms Export,2004,Review of Economics and Statistics,economic;discussion;data;center;census;business;working;impact;trade;economics
The Deaths of Manufacturing Plants,2002,NBER,center;census;business;firm;economic;paper;working;impact;trade;manufacturing
Facing The Dragon: Prospects For US Manufacturers in the Coming Decade,2004, Tuck School of Business mimeo,discussion;data;center;census;firms;working;mimeo;business;impact;trade
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2009,"Timothy Dunne, J. Bradford Jensen, and Mark J. Roberts, eds., Producer Dynamics: New Evidence from Micro Data. University of Chicago Press.",center;census;business;working;evidence;university;impact;firms;data;trade
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,Peterson Institute for International Economics,data;center;census;business;paper;working;impact;firms;economics;trade
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,NBER,discussion;data;center;census;business;paper;working;impact;firms;trade
"Trade Costs, Firms and Productivity",2006,Journal of Monetary Economics,data;center;census;business;journal;impact;productivity;firms;economics;trade
Plants and Productivity in International Trade,2003,NBER,data;center;census;business;firm;paper;working;impact;productivity;trade
Exporting and Productivity in the US,2004,Oxford Review of Economic Policy,data;center;census;business;firms;working;economic;impact;productivity;trade
Assessing the Impact of Trade Liberalization on Import-Competing Industries in the Appalachian Region,2004,Unknown,discussion;data;center;census;business;firms;working;mimeo;impact;trade
"Importers, Exporters, and Multinationals: A Portrait of Firms in the U.S. that Trade Goods",2005,Center for Economic Studies,firm;economic;studies;center;working;impact;firms;census;papers;trade
Why Some Firms Export,2001,NBER,discussion;data;center;census;business;firms;paper;working;impact;trade
Factor Price Equality and the Economies of the United States,2001,NBER,discussion;data;center;census;business;firms;paper;working;impact;trade
Product Choice and Product Switching,2005,Center for Economic Studies,business;firm;economic;studies;center;working;impact;trade;census;papers
"Falling Trade Costs, Heterogeneous Firms, and Industry Dynamics",2004,NBER,discussion;data;center;census;business;paper;working;impact;firms;trade
Survival of the Best Fit: Exposure to Low Wage Countries and the (Uneven) Growth of US Manufacturing Plants,2006,Journal of International Economics ,data;center;census;business;firms;journal;impact;trade;economics;manufacturing
How Offshore Work Affects Your Industry,2004,Harvard Business Review,economics;economic;discussion;data;center;census;working;business;impact;trade
"Firm Structure, Multinationals, and Manufacturing Plant Deaths",2007,Review of Economics and Statistics,center;census;business;firms;working;firm;impact;trade;economics;manufacturing
Wage and Productivity Stability in U.S. Manufacturing Plants,2008,Monthly Labor Review,economic;discussion;data;center;census;business;firms;working;labor;productivity
Explaining Home Bias in Consumption: The Role of Intermediate Input Trade,2002,NBER,discussion;data;center;census;business;firms;economic;working;trade;papers
"Evaluating the 'Export Destination"" field in the 1997 Commodity Flow Survey",2003,Center for Economic Studies,economics;discussion;data;business;impact;working;economic;studies;center;census
Intra-national Home Bias: Some Explanations,2003,Review of Economics and Statistics,economic;discussion;data;center;census;business;impact;working;trade;economics
A method for measuring the efficiency gap between average and best practice energy use: The ENERGY STAR industrial energy performance indicator,2005,Journal of Industrial Ecology,economics;economic;discussion;data;center;census;business;impact;journal;manufacturing
Standard Errors for a Consistent Estimator of the Normal-Gamma Stochastic Frontier Model,0,Unknown,economic;discussion;data;center;census;business;firms;working;mimeo;manufacturing
Two Approaches for Measuring the Efficiency Gap Between Average and Best Practice Energy Use: The LIEF Model 2.0 and the ENERGY STAR(tm) Performance Indicator,2003,ACEEE Proceedings,economics;economic;discussion;data;center;census;business;impact;working;manufacturing
Pollution Abatement Expenditures and Plant-Level Productivity: A Production Function Approach,2003,Center for Economic Studies,data;business;firms;economic;studies;center;working;productivity;census;papers
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2004,Center for Economic Studies,evidence;economics;economic;discussion;data;center;census;business;impact;working
Assessing multi-dimensional performance: environmental and economic outcomes,2006,"Journal of Productivity Analysis, Springer",economics;discussion;data;center;census;business;impact;economic;journal;productivity
"Plant Vintage, Technology, and Environmental Regulation",2003,"Journal of Environmental Economics and Management,",evidence;economic;discussion;data;center;census;business;impact;journal;economics
Assessing Multi-Dimensional Performance: Environmental and Economic Outcomes,2005,Center for Economic Studies,discussion;data;business;firms;studies;center;working;census;papers;economic
Pollution abatement expenditures and plant-level productivity: A production function approach,2005,"Ecological Economics, Elsevier",economic;discussion;data;center;census;business;impact;working;productivity;economics
"What Determines Environmental Performance at Paper Mills? The Roles of Abatement Spending, Regulation, and Efficiency",2003,Center for Economic Studies,data;business;firms;economic;paper;studies;center;working;census;papers
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2005,Journal of Economic and Social Measurement,evidence;economics;discussion;data;center;census;business;impact;economic;journal
"What Determines Environmental Performance at Paper Mills? The Roles of Abatement Spending, Regulation, and Efficiency",2003,"The B.E. Journal of Economic Analysis & Policy, De Gruyter,",economics;discussion;data;center;census;business;impact;economic;paper;journal
"When and Why do Plants Comply? Paper Mills in the 1980s”, Law and Policy, Vol. 27 (2) April 2005, pp. 238-261.",2005,Law and Policy,economics;economic;discussion;data;center;census;business;impact;working;paper
Regional Income Inequality and International Trade,2009,Economic Geography,economics;discussion;data;center;census;business;impact;working;economic;trade
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties",2004,Regional Studies,data;center;census;business;firms;working;economic;studies;evidence;trade
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties",2003,Center for Economic Studies,data;center;census;business;firms;economic;paper;working;evidence;trade
International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing,2007,Center for Economic Studies,data;center;census;business;firms;economic;paper;working;manufacturing;trade
Regional Income Inequality and International Trade,2003,Center for Economic Studies,discussion;data;center;census;business;firms;economic;paper;working;trade
International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing,2008,Growth and Change,discussion;data;center;census;business;firms;working;economic;manufacturing;trade
"The Impact of Market Mechanisms and HACCP Regulation on Food Safety Quality
",2004,Unknown,discussion;data;center;census;business;firms;working;mimeo;impact;market
The economic forces driving the costs of food safety regulation ,2006,Unknown,economics;discussion;data;center;census;business;impact;working;economic;mimeo
"Market Forces, Plant Technology, and the Food Safety Technology Use ",2008,Center for Economic Studies,data;business;firms;working;economic;paper;studies;center;census;market
The economic forces driving food safety quality in meat and poultry,2008,Review of Agricultural Economics ,evidence;discussion;data;center;census;business;impact;working;economic;economics
Why Do Employers Pay for College?,2004,Journal of Econometrics,evidence;economics;economic;discussion;data;center;census;business;impact;journal
A study of the extent and potential causes of alternative employment arrangements,2013,ILR Review,evidence;economics;economic;discussion;data;center;census;business;impact;working
Why do Employers Retrain At-Risk Workers? The Role of Social Capital,2004,Industrial Relations,evidence;economics;economic;discussion;data;center;census;business;impact;working
Determinants and Outcomes of Employee Selection Procedures,2003,Personnel Psychology,evidence;economics;economic;discussion;data;center;census;business;impact;working
Are Franchises Bad Employers? Industrial and Labor Relations Review,2008,ILR Review,evidence;economics;economic;discussion;data;center;census;business;impact;working
NES Documentation. Unpublished Manuscript,2003,Center for Economic Studies,economics;discussion;data;business;impact;working;economic;studies;center;census
Earnings Responses to Increases in Payroll Taxes,2006,Unknown,economics;economic;discussion;data;center;census;business;impact;paper;working
Redistribution in the Current U.S. Social Security System,2002,"NBER Conference Report series, Chicago and London: University of Chicago Press",economics;economic;discussion;data;center;census;business;impact;working;university
The Distributional Effects of an Investment-based Social Security System,2002,"NBER Conference Report series, Chicago and London: University of Chicago Press",economics;economic;discussion;data;center;census;business;impact;working;university
Should Taxes Be Based on Lifetime Income? ,2003,Ksg.harvard.edu,evidence;economics;economic;discussion;data;center;census;business;impact;working
"Why are Black-Owned Businesses Less Successful than White-Owned Businesses? The Role of Families, Inheritances, and Business Human Capital",2007, Journal of Labor Economics,economic;discussion;data;center;census;impact;labor;journal;economics;business
"Families, Human Capital, and Small Business: Evidence from the characteristics of Business Owners Survey,” ",2005,Center for Economic Studies,economic;discussion;data;center;census;impact;paper;working;evidence;business
"Families, Human Capital, and Small Business: Evidence from the characteristics of Business Owners Survey",2007,Industrial and Labor Relations Review  Volume,economic;discussion;data;center;census;impact;working;evidence;labor;business
"Why are Black-Owned Businesses Less Successful than White-Owned Businesses? The Role of Families, Inheritances, and Business Human Capital",2005,Center for Economic Studies,economics;economic;discussion;data;center;census;impact;paper;working;business
Marshall’s Scale Economies,2003,Journal of Urban Economics,discussion;data;center;census;business;firms;journal;productivity;economics;manufacturing
Quality Sorting and Networking: Evidence from the Advertising Agency Industry,2005,Center for Economic Studies,firm;economic;studies;center;working;evidence;productivity;census;papers;manufacturing
Networking off Madison Avenue,2008,"Review of Economic Studies, Oxford University Press",center;census;business;firm;working;economic;studies;university;productivity;manufacturing
Outsourcing business services and the role of central administrative offices,2003,Journal of Urban Economics,discussion;data;center;census;firms;journal;business;productivity;economics;manufacturing
Networking Off Madison Avenue,2005,Center for Economic Studies,business;firm;economic;studies;center;working;productivity;census;papers;manufacturing
Where do manufacturing firms locate their Headquarters?,2004,Federal Reserve Bank of Chicago Working Paper,discussion;data;center;census;business;paper;working;productivity;firms;manufacturing
Where Do Manufacturing Firms Locate Their Headquarters?,2008,Journal of Urban Economics,discussion;data;center;census;business;journal;productivity;firms;economics;manufacturing
Spatial mobility and geographic concentration,2005,Unknown,discussion;data;center;census;business;firms;working;mimeo;productivity;manufacturing
The Agglomeration of Headquarters,2004,Center for Economic Studies,discussion;data;center;census;business;firms;paper;working;productivity;manufacturing
Spatial Organization of Firms – The decision to split production from administration,2004,Center for Economic Studies,discussion;data;center;census;business;paper;working;productivity;firms;manufacturing
Spatial Organization of Firms: The decision to split production from administration,2007,The RAND Journal of Economics,discussion;data;center;census;business;journal;productivity;firms;economics;manufacturing
